Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;TFC;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;TUC;RStationID
56.81557249999983,27.694490499999773;"{""coordinates"": [27.694490499999773, 56.81557249999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:ac60f4f4-985a-4c0d-82a5-65c4c535bf;2015-10-26;AQ125;LV;15;Kārsava;N_A;Karsava;N_A;LAV;N_A;25;N.LV.RAILRDC.000195
50.14483899999985,8.5582;"{""coordinates"": [8.5582, 50.14483899999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:d0c5e91d-2b11-4f39-b0dd-9c0cb89831;2015-10-26;AQ125;DE;15;Eschborn;N_A;Eschborn;N_A;GER;N_A;45;N.DE.RAILRDC.002845
53.09294699999984,12.898944999999799;"{""coordinates"": [12.898944999999799, 53.09294699999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:fff6eba0-332a-40e6-bcaf-59685abf38;2015-10-26;AQ125;DE;15;Rheinsberg (Mark);N_A;Rheinsberg (Mark);N_A;GER;N_A;45;N.DE.RAILRDC.000120
51.788684499999846,10.203085499999787;"{""coordinates"": [10.203085499999787, 51.788684499999846], ""type"": ""Point""}";1;_EG.EGM.RailrdC:6496dcc0-1fd1-475c-b3c2-f82045a0bd;2015-10-26;AQ125;DE;15;Gittelde/Bad Grund (Harz);N_A;Gittelde/Bad Grund (Harz);N_A;GER;N_A;45;N.DE.RAILRDC.003400
50.73172599999984,7.097644499999802;"{""coordinates"": [7.097644499999802, 50.73172599999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:b4ad798a-0840-4894-80c8-d7105c5599;2015-10-26;AQ125;DE;15;Bonn Hbf;N_A;Bonn Hbf;N_A;GER;N_A;45;N.DE.RAILRDC.000791
47.69641999999985,22.460419999999772;"{""coordinates"": [22.460419999999772, 47.69641999999985], ""type"": ""Point""}";1;_EG.EGM.RailrdC:97a62edb-4611-4aaf-a765-730a74b859;2015-10-26;AQ125;RO;15;Carei;N_A;Carei;N_A;RUM;N_A;45;N.RO.RAILRDC.000158
45.81798949999984,19.649580499999786;"{""coordinates"": [19.649580499999786, 45.81798949999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:87a92fc8-00c0-4b43-b4b3-d050e782cc;2015-10-26;AQ125;RS;15;Bačka Topola;N_A;Backa Topola;N_A;SRP;N_A;45;N.RS.RAILRDC.000207
53.42492399999983,-2.79515600000019;"{""coordinates"": [-2.79515600000019, 53.42492399999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:be812f96-2c4b-498e-a097-dec53cbcad;2015-10-26;AQ125;GB;15;Prescot Station;N_A;Prescot Station;N_A;ENG;N_A;45;N.GB.RAILRDC.000217
54.62540599999983,-1.635526500000196;"{""coordinates"": [-1.635526500000196, 54.62540599999983], ""type"": ""Point""}";1;_EG.EGM.RailrdC:a8358435-28d3-4283-805a-083790170a;2015-10-26;AQ125;GB;15;Shildon Station;N_A;Shildon Station;N_A;ENG;N_A;45;N.GB.RAILRDC.000783
50.64399799999984,-1.166841000000204;"{""coordinates"": [-1.166841000000204, 50.64399799999984], ""type"": ""Point""}";1;_EG.EGM.RailrdC:f78b2588-2253-412d-9357-aab36d2d33;2015-10-26;AQ125;GB;15;Lake Station;N_A;Lake Station;N_A;ENG;N_A;45;N.GB.RAILRDC.001305
51.318325999999836,22.21288199999978;"{""coordinates"": [22.21288199999978, 51.318325999999836], ""type"": ""Point""}";1;_EG.EGM.RailrdC:e6d32a7f-ba93-482c-a9fd-99794e9cc0;2015-10-26;AQ125;PL;15;Nałęczów Wąskotorowy;N_A;Naleczow Waskotorowy;N_A;POL;N_A;26;N.PL.RAILRDC.000846
